sample_index,timestamp_brainflow,label,C3_uV,C4_uV,Cz_uV
0,1786481397.0883603,RE,89.4,251.6,70.0
1,1786481397.0883963,RE,-23.3,65.9,-12.2
2,1786481397.088419,RE,-57.5,44.1,-47.8
3,1786481397.0884385,RE,-9.5,188.4,-2.7
4,1786481397.088458,RE,17.9,113.2,10.2
5,1786481397.0884778,RE,-47.3,-131.7,-62.3
6,1786481397.088498,RE,76.2,179.2,-11.9
7,1786481397.0885177,RE,57.3,142.0,1.8
8,1786481397.0885377,RE,-16.4,79.6,-12.0
9,1786481397.088557,RE,42.0,-8.0,-20.3
10,1786481397.0885766,RE,42.2,38.6,-11.0
11,1786481397.08859,RE,-56.4,21.3,-46.2
12,1786481397.088597,RE,-23.3,23.2,-11.4
13,1786481397.0886035,RE,20.8,-66.1,-42.8
14,1786481397.0886104,RE,37.3,-94.3,-27.3
15,1786481397.088617,RE,21.1,173.5,12.2
16,1786481397.088624,RE,-81.9,122.2,-8.4
17,1786481397.088631,RE,45.7,44.1,4.2
18,1786481397.0886374,RE,107.6,163.3,31.5
19,1786481397.088644,RE,132.7,-19.8,14.4
20,1786481397.0886507,RE,12.1,19.1,-14.5
21,1786481397.0886576,RE,-53.8,-16.0,-40.0
22,1786481397.0886643,RE,61.7,58.4,14.9
23,1786481397.0886712,RE,41.8,38.2,13.8
24,1786481397.088678,RE,149.7,206.8,76.8
25,1786481397.0886848,RE,135.4,20.2,60.2
26,1786481397.0886917,RE,63.4,-31.0,31.8
27,1786481397.088698,RE,31.5,200.3,35.3
28,1786481397.0887053,RE,85.8,173.8,73.8
29,1786481397.0887115,RE,83.8,74.9,47.3
30,1786481397.0887182,RE,59.5,108.1,35.9
31,1786481397.088725,RE,135.1,112.4,47.1
32,1786481397.0887315,RE,163.6,73.1,75.4
33,1786481397.0887382,RE,77.5,5.3,44.3
34,1786481397.088745,RE,49.9,-20.7,25.2
35,1786481397.088752,RE,173.3,239.6,104.4
36,1786481397.0887587,RE,117.4,117.7,70.1
37,1786481397.0887651,RE,94.4,-10.1,53.8
38,1786481397.0887716,RE,102.1,-34.5,55.1
39,1786481397.0887785,RE,74.2,82.0,47.9
40,1786481397.0887847,RE,66.9,176.0,53.7
41,1786481397.0887916,RE,132.1,85.0,69.5
42,1786481397.088798,RE,130.2,176.1,94.8
43,1786481397.0888045,RE,170.3,168.2,97.5
44,1786481397.0888112,RE,93.0,117.0,68.8
45,1786481397.088818,RE,92.3,2.9,48.1
46,1786481397.0888245,RE,65.2,65.9,52.3
47,1786481397.088831,RE,135.9,169.7,84.7
48,1786481397.0888376,RE,119.6,124.3,84.6
49,1786481397.088844,RE,2.2,31.2,35.7
50,1786481397.0888505,RE,97.2,30.1,52.3
51,1786481397.088857,RE,167.1,-18.8,62.8
52,1786481397.0888636,RE,83.2,158.7,53.8
53,1786481397.0888703,RE,79.1,169.0,75.1
54,1786481397.088877,RE,126.5,141.9,86.5
55,1786481397.0888836,RE,92.9,82.2,54.1
56,1786481397.08889,RE,69.6,93.9,38.4
57,1786481397.0888965,RE,89.8,151.6,71.1
58,1786481397.0889032,RE,81.9,99.4,66.1
59,1786481397.0889096,RE,12.3,102.7,46.4
60,1786481397.0889163,RE,102.7,115.8,68.7
61,1786481397.0889227,RE,164.9,145.2,94.7
62,1786481397.0889292,RE,153.3,128.9,94.5
63,1786481397.088936,RE,48.0,74.3,51.1
