trial_index,code,grupo,amostra_inicio,t_merged_s,buraco_antes_s,emenda
1,RE,1,0,0.0,0.0,0
2,LH,1,1082,4.328,0.0,0
3,RE,1,2163,8.652,0.0,0
4,LH,1,3126,12.504,0.0,0
5,RE,1,4207,16.828,0.0,0
6,LH,1,5170,20.68,0.0,0
7,RE,1,6251,25.004,0.0,0
8,LH,1,7260,29.04,0.0,0
9,RE,1,8342,33.368,0.0,0
10,RH,1,9305,37.22,0.0,0
11,RE,1,10315,41.26,0.0,0
12,RH,1,11397,45.588,0.0,0
13,RE,1,12459,49.836,0.0,0
14,RH,1,13422,53.688,0.0,0
15,RE,1,14503,58.012,0.0,0
16,RH,1,15586,62.344,0.0,0
17,RE,1,16549,66.196,0.0,0
18,RH,1,17630,70.52,0.0,0
19,RE,1,18678,74.712,0.0,0
20,LH,1,19641,78.564,0.0,0
21,RE,1,20722,82.888,0.0,0
22,RH,1,21685,86.74,0.0,0
23,RE,1,22766,91.064,0.0,0
24,RH,1,23729,94.916,0.0,0
25,RE,1,24812,99.248,0.0,0
26,LH,1,25893,103.572,0.0,0
27,RE,1,26856,107.424,0.0,0
28,LH,1,27937,111.748,0.0,0
29,RE,1,28900,115.6,0.0,0
30,RH,1,29981,119.924,0.0,0
31,RE,1,31063,124.252,0.0,0
32,LH,1,32026,128.104,0.0,0
33,RE,1,33107,132.428,0.0,0
34,RH,1,34070,136.28,0.0,0
35,RE,1,35169,140.676,0.0,0
36,RH,1,36132,144.528,0.0,0
37,RE,1,37213,148.852,0.0,0
38,RH,1,38224,152.896,0.0,0
39,RE,1,39294,157.176,0.0,0
40,LH,1,40257,161.028,0.0,0
41,RE,1,41269,165.076,0.0,0
42,RH,1,42360,169.44,0.0,0
43,RE,1,43443,173.772,0.0,0
44,RH,1,44406,177.624,0.0,0
45,RE,1,45487,181.948,0.0,0
46,RH,1,46450,185.8,0.0,0
47,RE,1,47531,190.124,0.0,0
48,LH,1,48494,193.976,0.0,0
49,RE,1,49576,198.304,0.0,0
50,RH,1,50617,202.468,0.0,0
51,RE,1,51699,206.796,0.0,0
52,LH,1,52662,210.648,0.0,0
53,RE,1,53743,214.972,0.0,0
54,LH,1,54706,218.824,0.0,0
55,RE,1,55730,222.92,0.0,0
56,LH,1,56811,227.244,0.0,0
57,RE,1,57893,231.572,0.0,0
58,LH,1,58856,235.424,0.0,0
59,RE,1,59937,239.748,0.0,0
60,LH,1,60900,243.6,0.0,0
