sample_index,timestamp_brainflow,label,C3_uV,C4_uV,Cz_uV
0,1786485454.9714117,,-3.6,20.3,23.5
1,1786485454.9714522,,-14.1,-1.2,-5.0
2,1786485454.9714763,,0.8,-5.3,-2.9
3,1786485454.971501,,-14.8,5.8,14.5
4,1786485454.971526,,-17.5,11.1,19.8
5,1786485454.971547,,-9.4,3.8,10.8
6,1786485454.9715712,,12.5,-2.6,5.8
7,1786485454.971592,,15.7,18.1,29.3
8,1786485454.9716167,,1.4,32.0,35.1
9,1786485454.9716415,,-10.8,17.6,14.6
10,1786485454.9716525,,-5.1,-5.0,-1.4
11,1786485454.971662,,11.2,15.3,25.5
12,1786485454.9716728,,-4.9,32.7,41.2
13,1786485454.9716828,,-23.0,14.8,16.2
14,1786485454.971693,,9.4,6.3,6.6
15,1786485454.9717026,,20.1,22.1,26.5
16,1786485454.971712,,-2.8,33.4,38.5
17,1786485454.971721,,-39.9,4.1,5.3
18,1786485454.9717305,,-29.2,-20.6,-24.1
19,1786485454.9717393,,-8.5,-7.6,-3.5
20,1786485454.9717486,,-24.6,3.9,13.9
21,1786485454.9717572,,-18.6,10.7,16.1
22,1786485454.9717662,,-8.3,2.0,5.0
23,1786485454.9717753,,-1.6,-4.3,7.9
24,1786485454.9717853,,-23.9,6.3,20.1
25,1786485454.971795,,-35.2,3.3,17.0
26,1786485454.9718046,,-19.3,-2.6,14.6
27,1786485454.9718137,,2.2,1.0,17.6
28,1786485454.9718227,,4.9,21.9,43.5
29,1786485454.9718325,,-30.3,18.9,36.7
30,1786485454.9718423,,-25.5,-1.4,5.0
31,1786485454.9718516,,1.4,1.6,10.8
32,1786485454.97186,,-13.5,8.2,22.9
33,1786485454.9718685,,-21.3,17.0,30.4
34,1786485454.9718769,,-16.4,19.1,21.1
35,1786485454.9718857,,0.4,9.1,7.6
36,1786485454.9718945,,-13.0,16.9,13.5
37,1786485454.971904,,-40.1,17.1,12.4
38,1786485454.9719143,,-38.9,3.0,-3.6
39,1786485454.971928,,-19.4,-8.0,-14.7
40,1786485454.9719405,,-14.2,-0.0,2.3
41,1786485454.9719503,,-24.5,9.8,17.4
42,1786485454.9719613,,-34.7,5.9,10.1
43,1786485454.9719725,,-24.6,-10.1,-9.3
44,1786485454.9719832,,-22.9,-9.9,-7.1
45,1786485454.9719944,,-31.0,7.1,11.6
46,1786485454.9720051,,-41.8,2.8,5.5
47,1786485454.972015,,-41.7,-18.1,-22.2
48,1786485454.9720235,,-11.3,-9.5,-9.0
49,1786485454.9720323,,-14.5,10.2,13.5
50,1786485454.9720411,,-39.2,6.2,2.0
51,1786485454.97205,,-39.8,-17.6,-26.2
52,1786485454.972059,,-32.2,-22.4,-24.3
53,1786485454.972068,,-10.8,-1.8,2.6
54,1786485454.9720807,,-32.3,3.3,5.9
55,1786485454.9720924,,-40.8,-20.8,-22.4
56,1786485454.9721029,,-23.5,-30.1,-31.4
57,1786485454.972112,,-16.0,-11.6,-8.3
58,1786485454.9721208,,-39.3,-3.1,-5.8
59,1786485454.97213,,-53.2,-25.4,-34.8
60,1786485454.972139,,-23.7,-35.0,-40.7
61,1786485454.9721482,,-7.4,-12.1,-10.0
62,1786485454.9721577,,-20.1,4.2,5.1
63,1786485454.9721673,,-12.2,1.0,-1.3
64,1786485454.972176,,-2.5,-12.8,-12.4
65,1786485454.972186,,6.3,-2.9,1.7
66,1786485454.9721954,,-16.2,3.7,10.6
67,1786485454.9722044,,-17.1,-2.0,-2.3
68,1786485454.9722152,,-5.7,-18.5,-19.7
69,1786485454.972226,,6.0,-14.2,-11.0
70,1786485454.9722357,,4.9,10.0,14.0
71,1786485454.9722445,,-10.5,15.1,13.4
72,1786485454.9722545,,-6.8,-9.4,-13.5
73,1786485454.972264,,5.6,-10.7,-11.8
74,1786485454.9722743,,-11.6,-3.3,0.4
75,1786485454.972282,,-30.6,-5.5,-6.3
76,1786485454.972288,,-16.5,-20.1,-26.8
77,1786485454.972294,,16.7,-22.0,-19.7
78,1786485454.9723008,,6.6,-3.0,3.6
79,1786485454.9723113,,-0.8,9.1,13.9
80,1786485454.9723208,,2.7,-4.2,-2.8
81,1786485454.9723291,,26.1,-8.5,-9.5
82,1786485454.9723375,,-1.1,-3.8,-6.1
83,1786485454.972346,,-17.2,-1.4,-13.4
84,1786485454.9723563,,-20.9,-22.6,-40.8
85,1786485454.9723644,,7.0,-26.9,-40.3
86,1786485454.972375,,25.0,0.9,-6.2
87,1786485454.9723856,,-7.7,8.1,4.4
88,1786485454.9723964,,-2.5,0.7,-9.2
89,1786485454.972406,,11.3,-10.3,-22.6
90,1786485454.9724183,,12.5,-9.1,-16.1
91,1786485454.9724295,,-0.3,-1.0,-6.8
92,1786485454.9724395,,1.8,2.5,-12.9
93,1786485454.972453,,13.1,-6.9,-26.8
94,1786485454.9724612,,26.1,-1.2,-14.5
95,1786485454.9724696,,13.6,14.8,0.3
96,1786485454.9724803,,8.1,10.5,0.7
97,1786485454.9724903,,14.5,-2.5,-14.6
98,1786485454.9725008,,20.3,-8.3,-16.9
99,1786485454.9725113,,-1.9,-1.3,-9.2
100,1786485454.972524,,-17.8,-6.4,-19.6
101,1786485454.9725308,,-5.0,-14.6,-31.1
102,1786485454.9725392,,21.9,-12.9,-29.7
103,1786485454.9725475,,29.7,11.5,2.5
104,1786485454.9725547,,12.6,25.4,14.6
105,1786485454.9725635,,-6.0,2.0,-15.9
106,1786485454.9725697,,23.5,-5.7,-18.9
107,1786485454.9725788,,24.5,15.4,12.1
108,1786485454.9725888,,-15.0,10.3,8.0
109,1786485454.972596,,5.7,1.3,1.3
110,1786485454.972604,,29.8,2.0,2.1
111,1786485454.9726117,,25.5,14.5,13.4
112,1786485454.9726207,,12.6,25.5,13.3
113,1786485454.9726293,,16.4,32.0,11.6
114,1786485454.9726372,,16.2,6.4,-14.5
115,1786485454.9726455,,29.4,9.2,-4.5
116,1786485454.9726536,,19.4,25.2,16.9
117,1786485454.9726596,,4.3,21.5,11.5
118,1786485454.9726655,,20.5,4.1,-7.9
119,1786485454.9726713,RE,23.5,7.8,-5.2
120,1786485455.4518237,RE,8.7,21.6,10.7
121,1786485455.4518957,RE,-5.0,22.1,4.4
122,1786485455.4519272,RE,-2.7,2.2,-18.6
123,1786485455.4519548,RE,14.9,-0.8,-15.5
124,1786485455.4519837,RE,8.6,7.1,1.5
125,1786485455.452012,RE,-1.0,15.9,4.2
126,1786485455.452041,RE,11.8,9.1,-7.7
127,1786485455.4520645,RE,21.1,4.6,-10.0
128,1786485455.452073,RE,16.2,20.8,5.8
129,1786485455.4520812,RE,-0.5,27.3,11.0
130,1786485455.4520893,RE,-4.4,14.7,-0.2
131,1786485455.4520972,RE,17.3,11.0,-3.4
132,1786485455.4521053,RE,39.2,29.1,22.2
133,1786485455.452117,RE,20.4,36.3,28.5
134,1786485455.452125,RE,15.0,27.0,17.1
135,1786485455.4521337,RE,38.5,20.1,15.1
136,1786485455.452144,RE,27.7,24.8,23.6
137,1786485455.4521563,RE,2.7,27.4,22.8
138,1786485455.4521663,RE,-2.0,18.2,10.7
139,1786485455.4521754,RE,14.7,5.9,-4.7
140,1786485455.4521856,RE,23.0,18.5,1.6
141,1786485455.4521964,RE,13.3,34.8,17.4
142,1786485455.452209,RE,-12.5,24.6,3.0
143,1786485455.4522192,RE,9.4,6.8,-13.2
144,1786485455.4522302,RE,40.9,15.4,2.7
145,1786485455.452241,RE,22.7,26.1,14.8
146,1786485455.4522507,RE,-6.5,15.0,2.2
147,1786485455.4522607,RE,-0.4,-8.9,-21.3
148,1786485455.452271,RE,22.4,-0.9,-14.5
149,1786485455.4522817,RE,2.0,11.2,-1.6
150,1786485455.452292,RE,-8.9,13.8,-6.7
151,1786485455.452301,RE,-8.2,-6.0,-26.9
152,1786485455.4523103,RE,17.9,-7.5,-22.1
153,1786485455.452319,RE,-0.9,12.1,1.3
154,1786485455.4523287,RE,9.7,19.7,9.9
155,1786485455.4523375,RE,3.3,10.4,-2.0
156,1786485455.4523463,RE,12.1,-3.2,-12.6
157,1786485455.452355,RE,22.6,14.7,11.8
158,1786485455.4523623,RE,4.7,22.3,21.8
159,1786485455.4523704,RE,11.5,16.0,10.8
160,1786485455.452378,RE,25.2,6.4,-4.2
161,1786485455.452386,RE,17.0,12.5,2.3
162,1786485455.452394,RE,8.4,23.9,10.6
163,1786485455.452402,RE,8.1,21.4,7.0
164,1786485455.4524112,RE,20.0,-3.6,-15.3
165,1786485455.45242,RE,32.4,7.8,1.3
166,1786485455.452428,RE,15.9,26.4,15.9
167,1786485455.4524355,RE,-0.8,19.5,10.4
168,1786485455.4524431,RE,10.2,7.6,0.3
