trial_index,code,grupo,amostra_inicio,t_merged_s,buraco_antes_s,emenda
1,RE,1,119,0.476,0.0,0
2,LH,1,1082,4.328,0.0,0
3,RE,1,2163,8.652,0.0,0
4,RH,1,3126,12.504,0.0,0
5,RE,1,4207,16.828,0.0,0
6,LH,1,5289,21.156,0.0,0
7,RE,1,6252,25.008,0.0,0
8,RH,1,7333,29.332,0.0,0
9,RE,1,8296,33.184,0.0,0
10,RH,1,9378,37.512,0.0,0
11,RE,1,10460,41.84,0.0,0
12,LH,1,11423,45.692,0.0,0
13,RE,1,12504,50.016,0.0,0
14,RH,1,13467,53.868,0.0,0
15,RE,1,14549,58.196,0.0,0
16,RH,1,15630,62.52,0.0,0
17,RE,1,16593,66.372,0.0,0
18,LH,1,17674,70.696,0.0,0
19,RE,1,18637,74.548,0.0,0
20,LH,1,19719,78.876,0.0,0
21,RE,1,20801,83.204,0.0,0
22,RH,1,21763,87.052,0.0,0
23,RE,1,22845,91.38,0.0,0
24,RH,1,23927,95.708,0.0,0
25,RE,1,24890,99.56,0.0,0
26,LH,1,25971,103.884,0.0,0
27,RE,1,26934,107.736,0.0,0
28,LH,1,28015,112.06,0.0,0
29,RE,1,29097,116.388,0.0,0
30,LH,1,30060,120.24,0.0,0
31,RE,1,31141,124.564,0.0,0
32,RH,1,32104,128.416,0.0,0
33,RE,1,33186,132.744,0.0,0
34,RH,1,34268,137.072,0.0,0
35,RE,1,35231,140.924,0.0,0
36,LH,1,36312,145.248,0.0,0
37,RE,1,37296,149.184,0.0,0
38,LH,1,38357,153.428,0.0,0
39,RE,1,39438,157.752,0.0,0
40,RH,1,40401,161.604,0.0,0
41,RE,1,41482,165.928,0.0,0
42,LH,1,42564,170.256,0.0,0
43,RE,1,43527,174.108,0.0,0
44,RH,1,44609,178.436,0.0,0
45,RE,1,45571,182.284,0.0,0
46,LH,1,46654,186.616,0.0,0
47,RE,1,47735,190.94,0.0,0
